family,scope,fold,model,n_train,n_validation,n_test,n_features,best_params,validation_accuracy,validation_precision,validation_sensitivity,validation_specificity,validation_f1,validation_auc,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_precision,test_sensitivity,test_specificity,test_f1,test_auc,test_tn,test_fp,test_fn,test_tp
feature_neural,combined,Fold_4,resnet1d,60,20,20,55944,"{'input': 'fold-local feature vector', 'k_features': 100, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 6, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.75,0.6923076923076923,0.9,0.6,0.782608695652174,0.78,6,4,1,9,0.75,0.6923076923076923,0.9,0.6,0.782608695652174,0.8500000000000001,6,4,1,9
feature_neural,combined,Fold_4,lstm,60,20,20,55944,"{'input': 'fold-local feature vector', 'k_features': 400, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 5, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.8,0.8,0.8,0.8,0.8,0.9299999999999999,8,2,2,8,0.9,0.9,0.9,0.9,0.9,0.98,9,1,1,9
feature_neural,combined,Fold_4,gru,60,20,20,55944,"{'input': 'fold-local feature vector', 'k_features': 200, 'learning_rate': 0.0003, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 6, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.9,0.9,0.9,0.9,0.9,0.9500000000000001,9,1,1,9,0.9,1.0,0.8,1.0,0.8888888888888888,0.95,10,0,2,8
feature_neural,combined,Fold_4,patchtst,60,20,20,55944,"{'input': 'fold-local feature vector', 'k_features': 400, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 6, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.75,0.7272727272727273,0.8,0.7,0.7619047619047619,0.84,7,3,2,8,0.8,0.75,0.9,0.7,0.8181818181818182,0.94,7,3,1,9
feature_neural,enhanced,Fold_4,resnet1d,60,20,20,84430,"{'input': 'fold-local feature vector', 'k_features': 100, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 6, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.8,0.7142857142857143,1.0,0.6,0.8333333333333334,0.77,6,4,0,10,0.75,0.6923076923076923,0.9,0.6,0.782608695652174,0.86,6,4,1,9
feature_neural,enhanced,Fold_4,lstm,60,20,20,84430,"{'input': 'fold-local feature vector', 'k_features': 200, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 4, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.85,0.8888888888888888,0.8,0.9,0.8421052631578947,0.8900000000000001,9,1,2,8,0.75,0.7272727272727273,0.8,0.7,0.7619047619047619,0.85,7,3,2,8
feature_neural,enhanced,Fold_4,gru,60,20,20,84430,"{'input': 'fold-local feature vector', 'k_features': 100, 'learning_rate': 0.0003, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 6, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.95,1.0,0.9,1.0,0.9473684210526315,0.9800000000000001,10,0,1,9,0.9,0.9,0.9,0.9,0.9,0.98,9,1,1,9
feature_neural,enhanced,Fold_4,patchtst,60,20,20,84430,"{'input': 'fold-local feature vector', 'k_features': 400, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 6, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.65,0.6666666666666666,0.6,0.7,0.631578947368421,0.81,7,3,4,6,0.75,0.7272727272727273,0.8,0.7,0.7619047619047619,0.9099999999999999,7,3,2,8
feature_neural,left,Fold_5,resnet1d,60,20,20,27972,"{'input': 'fold-local feature vector', 'k_features': 200, 'learning_rate': 0.0003, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 4, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.9,1.0,0.8,1.0,0.8888888888888888,0.92,10,0,2,8,0.65,0.6666666666666666,0.6,0.7,0.631578947368421,0.81,7,3,4,6
feature_neural,left,Fold_5,lstm,60,20,20,27972,"{'input': 'fold-local feature vector', 'k_features': 400, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 2, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.7,0.7,0.7,0.7,0.7,0.72,7,3,3,7,0.7,0.6428571428571429,0.9,0.5,0.75,0.8200000000000001,5,5,1,9
feature_neural,left,Fold_5,gru,60,20,20,27972,"{'input': 'fold-local feature vector', 'k_features': 400, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 3, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.75,0.7272727272727273,0.8,0.7,0.7619047619047619,0.8400000000000001,7,3,2,8,0.7,0.625,1.0,0.4,0.7692307692307693,0.8500000000000001,4,6,0,10
feature_neural,left,Fold_5,patchtst,60,20,20,27972,"{'input': 'fold-local feature vector', 'k_features': 100, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 4, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.9,0.9,0.9,0.9,0.9,0.9400000000000001,9,1,1,9,0.85,0.8181818181818182,0.9,0.8,0.8571428571428571,0.8899999999999999,8,2,1,9
feature_neural,right,Fold_5,resnet1d,60,20,20,27972,"{'input': 'fold-local feature vector', 'k_features': 400, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 5, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.9,0.9,0.9,0.9,0.9,0.91,9,1,1,9,0.65,0.6666666666666666,0.6,0.7,0.631578947368421,0.77,7,3,4,6
